ID_CLIENTE,GENERO_Male,ADULTO_MAYOR_1,CASADO_Yes,PERSONAS_A_CARGO_Yes,TIENE_TELEFONIA_Yes,VARIAS_LINEAS_No phone service,VARIAS_LINEAS_Yes,TIPO_INTERNET_Fiber optic,TIPO_INTERNET_No,SEGURIDAD_EN_LINEA_No internet service,SEGURIDAD_EN_LINEA_Yes,COPIA_DE_SEGURIDAD_No internet service,COPIA_DE_SEGURIDAD_Yes,PROTECCION_DISPOSITIVO_No internet service,PROTECCION_DISPOSITIVO_Yes,SOPORTE_TECNICO_No internet service,SOPORTE_TECNICO_Yes,SERVICIO_TV_No internet service,SERVICIO_TV_Yes,SERVICIOS_STREAMING_No internet service,SERVICIOS_STREAMING_Yes,PERIODO_CONTRATO_One year,PERIODO_CONTRATO_Two year,FACTURACION_ELECTRONICA_Yes,METODO_PAGO_Credit card (automatic),METODO_PAGO_Electronic check,METODO_PAGO_Mailed check,ABANDONO_Yes,MESES_COMO_CLIENTE,COBRO_MENSUAL
7590-VHVEG,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-0.6086956521739131,-0.7451701931922723
5575-GNVDE,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.10869565217391304,-0.24655013799448008
3668-QPYBK,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.5869565217391305,-0.3035878564857405
7795-CFOCW,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.34782608695652173,-0.516099356025759
9237-HQITU,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.5869565217391305,0.006439742410303745
9305-CDSKC,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,-0.45652173913043476,0.5390984360625578
1452-KIOVK,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-0.15217391304347827,0.344986200551978
6713-OKOMC,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.41304347826086957,-0.7470101195952161
7892-POOKP,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,-0.021739130434782608,0.6338546458141675
6388-TABGU,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.717391304347826,-0.26126954921803125
9763-GRSKD,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.34782608695652173,-0.37534498620055184
7469-LKBCI,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,-0.2826086956521739,-0.9457221711131554
8091-TTVAX,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0.6304347826086957,0.5519779208831648
0280-XJGEX,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.43478260869565216,0.613615455381785
5129-JLPIS,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,-0.08695652173913043,0.6467341306347748
3655-SNQYZ,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0.8695652173913043,0.7893284268629257
8191-XWSZG,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0.5,-0.9144434222631095
9959-WOFKT,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.9130434782608695,0.6688132474701014
4190-MFLUW,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.41304347826086957,-0.27874885004599803
4183-MYFRB,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.17391304347826086,0.3624655013799449
8779-QRDMV,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,-0.6086956521739131,-0.5648574057037719
1680-VDCWW,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,-0.3695652173913043,-0.9300827966881325
1066-JKSGK,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,-0.6086956521739131,-0.9236430542778289
3638-WEABW,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.6304347826086957,-0.19227230910763562
6322-HRPFA,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.43478260869565216,-0.19779208831646722
